[2026-05-11 03:07:30] ---TOTAL start---
[2026-05-11 03:07:31] ---COVERAGE_REDUCER start---
[2026-05-11 03:07:32] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00002 failed
[2026-05-11 03:07:32] initial coverage size is 1001
[2026-05-11 03:07:32] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00004 failed
[2026-05-11 03:07:32] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00005 failed
[2026-05-11 03:07:32] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00006 failed
[2026-05-11 03:07:32] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00007 failed
[2026-05-11 03:07:33] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00008 failed
[2026-05-11 03:07:33] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00009 failed
[2026-05-11 03:07:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00010 failed
[2026-05-11 03:07:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00011 failed
[2026-05-11 03:07:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00012 failed
[2026-05-11 03:07:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00013 failed
[2026-05-11 03:07:37] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00014 failed
[2026-05-11 03:07:37] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00015 failed
[2026-05-11 03:07:37] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00016 failed
[2026-05-11 03:07:40] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00017 failed
[2026-05-11 03:07:44] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00018 succeed
[2026-05-11 03:07:44] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00020 failed
[2026-05-11 03:07:44] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00021 failed
[2026-05-11 03:07:45] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00022 failed
[2026-05-11 03:07:45] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00023 failed
[2026-05-11 03:07:45] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00024 failed
[2026-05-11 03:07:48] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00025 failed
[2026-05-11 03:07:48] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00026 failed
[2026-05-11 03:07:51] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00027 failed
[2026-05-11 03:07:55] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00028 failed
[2026-05-11 03:07:55] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00029 failed
[2026-05-11 03:07:58] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00030 failed
[2026-05-11 03:08:01] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00031 succeed
[2026-05-11 03:08:02] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00033 failed
[2026-05-11 03:08:02] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00034 failed
[2026-05-11 03:08:02] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00035 failed
[2026-05-11 03:08:02] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00036 failed
[2026-05-11 03:08:02] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00037 failed
[2026-05-11 03:08:03] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00038 failed
[2026-05-11 03:08:03] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00039 failed
[2026-05-11 03:08:06] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00040 failed
[2026-05-11 03:08:09] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00041 failed
[2026-05-11 03:08:13] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00042 succeed
[2026-05-11 03:08:16] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00044 failed
[2026-05-11 03:08:16] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00045 failed
[2026-05-11 03:08:19] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00046 failed
[2026-05-11 03:08:22] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00047 failed
[2026-05-11 03:08:25] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00048 failed
[2026-05-11 03:08:28] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00049 succeed
[2026-05-11 03:08:31] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00051 succeed
[2026-05-11 03:08:32] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00053 failed
[2026-05-11 03:08:35] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00054 failed
[2026-05-11 03:08:35] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00055 failed
[2026-05-11 03:08:35] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00056 failed
[2026-05-11 03:08:35] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00057 failed
[2026-05-11 03:08:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00058 failed
[2026-05-11 03:08:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00059 failed
[2026-05-11 03:08:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00060 failed
[2026-05-11 03:08:36] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00061 failed
[2026-05-11 03:08:39] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00062 failed
[2026-05-11 03:08:39] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00063 failed
[2026-05-11 03:08:39] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00064 failed
[2026-05-11 03:08:40] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00065 failed
[2026-05-11 03:08:40] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00066 failed
[2026-05-11 03:08:40] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00067 failed
[2026-05-11 03:08:40] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00068 failed
[2026-05-11 03:08:43] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00069 succeed
[2026-05-11 03:08:47] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00071 failed
[2026-05-11 03:08:49] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00072 succeed
[2026-05-11 03:08:52] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00074 failed
[2026-05-11 03:08:55] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00075 succeed
[2026-05-11 03:08:58] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00077 failed
[2026-05-11 03:08:59] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00078 failed
[2026-05-11 03:09:02] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00079 succeed
[2026-05-11 03:09:05] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00081 failed
[2026-05-11 03:09:05] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00082 failed
[2026-05-11 03:09:08] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00083 failed
[2026-05-11 03:09:11] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00084 failed
[2026-05-11 03:09:14] /tmp/tmp.4hgtT8PcCB/DR_test_93607/temp00085 failed
