20260512_043748_UTC CT5575
20260512_043749_UTC CT4521
20260512_043750_UTC 
20260512_043750_UTC CT4394
20260512_043751_UTC CT4362
20260512_043751_UTC CT4210
20260512_043752_UTC CT4051
20260512_043752_UTC CT4019
20260512_043752_UTC CT3931
20260512_043753_UTC CT3836
20260512_043753_UTC CT3804
20260512_043754_UTC CT3748
20260512_043754_UTC CT3685
20260512_043755_UTC CT3653
20260512_043755_UTC C
20260512_043755_UTC CT3629
20260512_043756_UTC 
20260512_043756_UTC 
20260512_043756_UTC CT3627
20260512_043756_UTC 
20260512_043756_UTC CT3580
20260512_043757_UTC CT3548
20260512_043757_UTC CT3516
20260512_043758_UTC CT3477
20260512_043758_UTC CT3445
20260512_043758_UTC CT3417
20260512_043759_UTC CT3382
20260512_043759_UTC CT3350
20260512_043759_UTC CT3324
20260512_043800_UTC CT3291
20260512_043800_UTC CT3259
20260512_043801_UTC CT3171
20260512_043801_UTC CT3076
20260512_043801_UTC CT3044
20260512_043802_UTC CT2988
20260512_043802_UTC CT2925
20260512_043803_UTC CT2893
20260512_043803_UTC CT2853
20260512_043803_UTC CT2806
20260512_043804_UTC CT2774
20260512_043804_UTC CT2742
20260512_043804_UTC CT2703
20260512_043805_UTC CT2671
20260512_043805_UTC CT2643
20260512_043806_UTC CT2608
20260512_043806_UTC CT2576
20260512_043807_UTC CT2550
20260512_043807_UTC CT2517
20260512_043807_UTC CT2485
20260512_043808_UTC CT2429
20260512_043808_UTC CT2366
20260512_043809_UTC CT2334
20260512_043809_UTC CT2294
20260512_043809_UTC CT2247
20260512_043810_UTC CT2215
20260512_043810_UTC CT2183
20260512_043811_UTC CT2144
20260512_043811_UTC CT2112
20260512_043811_UTC CT2084
20260512_043812_UTC CT2049
20260512_043813_UTC CT2017
20260512_043813_UTC CT1991
20260512_043814_UTC CT1958
20260512_043814_UTC CT1926
20260512_043814_UTC CT1870
20260512_043815_UTC CT1807
20260512_043815_UTC CT1775
20260512_043816_UTC CT1735
20260512_043816_UTC CT1688
20260512_043817_UTC CT1656
20260512_043817_UTC CT1624
20260512_043817_UTC CT1585
20260512_043818_UTC CT1553
20260512_043818_UTC CT1525
20260512_043819_UTC CT1490
20260512_043819_UTC CT1458
20260512_043820_UTC CT1432
20260512_043820_UTC CT1399
20260512_043821_UTC CT1367
20260512_043821_UTC CT1327
20260512_043822_UTC CT1280
20260512_043822_UTC CT1248
20260512_043822_UTC CT1216
20260512_043823_UTC CT1177
20260512_043823_UTC CT1145
20260512_043824_UTC CT1117
20260512_043824_UTC CT1082
20260512_043824_UTC CT1050
20260512_043825_UTC CT1024
20260512_043825_UTC C
20260512_043826_UTC C
20260512_043826_UTC C
20260512_043826_UTC C
20260512_043827_UTC C
20260512_043827_UTC 
20260512_043827_UTC 
20260512_043827_UTC CT1021
20260512_043828_UTC C
20260512_043828_UTC CT1020
